No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
38,AEL,0.44%,3.19%,-7.31%,-17.09%,20.47%,-6.86%,3.86%,3.63%,2.40,590.35K,0.52,36.25,0.00%,"157,500"
39,AEP,-0.83%,4.93%,-7.94%,2.87%,9.12%,5.19%,1.79%,2.09%,2.20,2.82M,0.56,93.52,-0.07%,"807,099"
40,AFBI,0.07%,0.69%,-4.62%,-7.21%,12.86%,-4.81%,1.22%,2.22%,-,4.02K,0.21,14.97,2.11%,436
41,AFG,-2.73%,3.64%,-3.13%,6.42%,31.65%,5.07%,2.35%,2.63%,2.00,370.04K,0.33,132.85,-0.99%,"62,423"
42,AFL,-1.38%,3.70%,-16.10%,-14.19%,6.30%,-5.86%,1.87%,2.11%,2.90,2.76M,0.48,54.84,-0.24%,"676,693"
43,AFRI,2.55%,47.12%,1.95%,2.75%,4.60%,3.36%,5.72%,15.69%,-,118.25K,0.08,10.50,0.38%,"5,012"
44,AGM,4.24%,11.21%,-7.74%,-21.77%,4.95%,-18.60%,2.21%,2.46%,1.00,30.47K,1.48,101.20,0.32%,"23,220"
45,AGO,1.32%,5.96%,-7.43%,0.29%,24.17%,11.25%,2.18%,2.47%,2.00,386.40K,0.43,55.88,0.04%,"86,288"
46,AGTI,5.35%,11.06%,-3.44%,4.98%,14.01%,-8.98%,3.62%,5.56%,1.80,205.42K,0.27,21.14,0.26%,"28,671"
47,AHH,4.28%,7.29%,-5.37%,-6.23%,4.61%,-12.02%,1.92%,2.28%,1.70,409.71K,0.23,13.48,0.67%,"48,283"
48,AIG,1.21%,3.54%,-19.03%,-16.43%,15.16%,-9.00%,2.84%,2.95%,2.30,5.43M,0.46,51.33,-0.79%,"1,285,398"
49,AIN,4.32%,8.11%,-0.51%,-7.65%,3.99%,-7.18%,2.86%,2.64%,2.70,146.41K,0.27,82.02,-0.10%,"20,555"
50,AIR,6.73%,10.10%,-12.45%,3.34%,29.05%,13.35%,4.05%,3.54%,2.00,304.89K,0.47,44.40,0.36%,"74,250"
51,AIRR,5.25%,8.30%,-3.25%,-10.83%,1.80%,-12.96%,2.09%,1.96%,-,20.25K,0.70,39.56,0.74%,"7,318"
52,AIT,1.19%,1.21%,-4.19%,-7.64%,10.31%,-8.75%,2.29%,2.78%,2.00,203.71K,0.26,94.52,0.86%,"27,028"
53,AIV,7.22%,26.17%,7.85%,0.14%,11.31%,-5.70%,2.71%,3.49%,1.00,1.95M,0.19,7.36,1.03%,"193,366"
54,AIZ,-2.80%,-0.47%,-11.11%,8.65%,11.10%,7.98%,2.48%,2.13%,1.80,487.51K,0.37,168.32,0.02%,"93,235"
55,AJG,1.03%,11.72%,-7.58%,5.59%,21.87%,-1.86%,2.08%,2.12%,2.10,891.17K,0.27,166.70,0.11%,"123,804"
56,ALB,8.02%,4.62%,0.88%,-9.48%,18.78%,-9.52%,3.33%,4.06%,2.40,1.42M,0.54,218.27,3.19%,"394,531"
57,ALC,3.65%,11.36%,-5.07%,-7.80%,6.28%,-16.83%,1.88%,1.91%,2.30,918.67K,0.41,72.35,-0.15%,"193,048"
58,ALCO,0.00%,-8.06%,-16.83%,-5.16%,1.20%,-4.16%,1.89%,3.32%,2.00,83.26K,0.52,35.57,0.23%,"22,264"
59,ALEX,2.04%,1.75%,-19.69%,-25.81%,0.56%,-28.30%,2.36%,2.42%,1.70,337.92K,0.25,18.17,1.00%,"44,069"
60,ALJJ,-1.90%,5.10%,-19.22%,20.47%,54.89%,13.19%,3.63%,4.57%,-,86.76K,1.16,2.08,0.97%,"51,873"
61,ALKS,-3.16%,10.18%,2.98%,17.86%,27.34%,27.94%,3.48%,3.76%,2.60,1.59M,0.40,28.97,-2.65%,"327,608"
62,ALPN,4.21%,8.15%,17.44%,-12.01%,8.15%,-33.86%,5.58%,6.04%,1.50,101.73K,0.34,8.85,-3.38%,"17,588"
63,ALT,-0.88%,53.27%,121.46%,43.49%,22.42%,22.82%,8.02%,10.88%,1.70,1.42M,0.80,12.01,6.71%,"586,045"
64,ALTU,0.20%,0.40%,-0.30%,0.61%,1.43%,0.40%,0.14%,0.23%,-,89.30K,0.16,9.96,0.20%,"7,421"
65,AM,10.19%,4.96%,-11.63%,-6.84%,5.74%,2.79%,3.69%,4.12%,3.30,3.95M,0.87,9.85,-0.95%,"1,775,220"
66,AMAL,5.10%,8.33%,19.50%,24.42%,41.12%,27.91%,3.10%,2.87%,2.30,92.73K,0.14,21.19,-1.21%,"6,751"
67,AMCR,1.36%,7.86%,9.54%,2.10%,12.27%,5.16%,1.89%,2.23%,3.00,11.89M,0.45,12.45,-1.43%,"2,755,462"
68,AMGN,0.14%,7.20%,-1.83%,5.08%,0.24%,9.93%,1.67%,1.73%,2.60,3.31M,0.46,247.71,0.16%,"778,703"
69,AMJ,6.85%,4.85%,-7.54%,1.93%,15.44%,12.91%,2.55%,3.17%,-,651.01K,0.39,20.09,-0.10%,"130,081"
70,AMLP,7.00%,5.07%,-8.07%,0.94%,13.63%,12.06%,2.40%,3.21%,-,3.22M,0.39,36.61,-0.22%,"641,642"
71,AMN,10.15%,24.86%,17.45%,13.32%,29.90%,0.36%,5.13%,4.85%,1.70,731.65K,0.42,123.39,0.51%,"159,520"
72,AMNB,3.91%,5.92%,-2.65%,-9.92%,19.58%,-5.52%,1.65%,2.64%,2.00,14.69K,0.21,36.13,1.49%,"1,588"
73,AMPH,2.29%,17.78%,-4.66%,44.42%,83.02%,57.32%,3.86%,4.29%,2.30,575.78K,0.42,35.77,-2.37%,"123,773"
74,AMPY,8.02%,-22.62%,-12.57%,63.57%,111.71%,103.54%,6.48%,7.47%,3.00,972.79K,0.34,6.36,0.47%,"168,720"
75,AMR,22.22%,-1.67%,-11.02%,102.96%,531.18%,135.10%,5.83%,7.00%,2.50,781.95K,0.51,141.18,-1.64%,"204,932"
76,AMRK,9.66%,-2.08%,-28.79%,4.31%,44.31%,0.29%,4.97%,5.57%,2.00,244.75K,0.50,30.05,-1.92%,"62,794"
77,AMTB,2.65%,8.18%,3.44%,-14.53%,41.66%,-14.67%,2.67%,2.87%,1.80,104.19K,0.21,29.42,-0.20%,"11,067"
78,AMUB,6.73%,0.11%,-7.74%,3.34%,3.51%,12.72%,0.99%,1.29%,-,3.67K,0.21,12.58,-0.62%,401
79,AMX,-4.48%,-1.40%,-14.54%,-7.01%,21.82%,-10.09%,2.98%,2.52%,2.50,2.47M,0.48,18.67,-1.63%,"614,558"
80,AMZA,8.83%,6.98%,-9.31%,-1.06%,14.13%,11.83%,3.02%,3.96%,-,77.12K,0.30,28.47,-1.25%,"12,094"
81,AN,8.61%,18.49%,20.38%,12.96%,16.74%,6.24%,3.68%,3.73%,2.20,833.14K,1.29,119.06,-4.09%,"552,158"
82,ANDE,5.13%,-9.61%,-43.36%,-18.58%,23.00%,-17.39%,3.30%,3.91%,2.00,447.02K,0.19,32.26,0.88%,"43,628"
83,ANET,6.60%,15.85%,-17.00%,-19.26%,15.71%,-27.13%,3.18%,3.29%,2.20,1.96M,1.28,105.05,0.29%,"1,289,717"
84,AON,1.90%,10.94%,-16.22%,0.82%,21.56%,-8.27%,2.28%,2.41%,2.90,1.01M,0.72,277.42,0.63%,"372,487"
85,AOSL,12.82%,14.28%,-18.87%,-26.88%,48.80%,-38.67%,5.58%,5.67%,3.00,617.08K,0.50,38.89,4.71%,"159,616"
86,APA,5.89%,-17.77%,-21.92%,3.15%,99.54%,27.71%,4.86%,5.79%,2.40,9.51M,0.71,34.53,0.56%,"3,478,766"
87,APGB,0.15%,0.20%,-0.10%,0.31%,0.20%,0.31%,0.27%,0.27%,-,137.17K,0.09,9.82,0.15%,"6,022"
88,APH,5.08%,8.22%,-3.95%,-17.11%,0.39%,-22.65%,2.37%,2.32%,2.20,2.29M,0.35,68.45,1.18%,"413,081"
89,APLE,5.60%,8.10%,-9.24%,-4.59%,13.70%,-0.80%,2.58%,3.30%,1.90,2.10M,0.50,16.22,1.25%,"544,895"
90,APOG,4.93%,10.03%,-13.26%,-18.25%,12.03%,-16.84%,2.83%,4.07%,2.80,201.09K,0.26,40.32,0.70%,"27,226"
91,AQUA,4.07%,11.45%,-21.59%,-11.32%,11.24%,-26.74%,3.00%,3.27%,2.20,845.23K,0.40,35.13,2.57%,"176,280"
92,AR,13.76%,-5.53%,-3.86%,74.14%,178.15%,99.31%,6.19%,7.53%,2.10,9.24M,0.51,35.60,2.08%,"2,410,850"
93,ARC,1.97%,-3.72%,-31.84%,-28.85%,29.50%,-26.00%,2.93%,4.10%,1.00,153.50K,0.82,2.65,2.32%,"64,700"
94,ARCB,5.14%,14.01%,15.05%,-12.13%,48.45%,-33.46%,4.14%,4.45%,2.10,306.30K,0.51,79.50,-0.31%,"80,390"
95,ARCH,5.39%,-5.86%,-10.30%,57.81%,171.59%,66.90%,5.73%,6.61%,2.00,815.89K,0.29,144.09,-1.13%,"121,909"
96,ARCO,4.89%,-3.90%,-12.50%,21.57%,20.91%,14.07%,3.02%,3.54%,2.10,892.91K,0.42,6.70,0.75%,"193,979"
97,ARES,3.86%,16.68%,-18.26%,-18.74%,1.97%,-22.89%,3.27%,3.62%,2.00,944.67K,0.30,64.28,2.57%,"145,769"
98,ARGX,5.80%,12.68%,17.62%,27.89%,19.03%,6.45%,2.64%,3.24%,1.70,348.56K,0.39,366.90,-1.58%,"69,559"
99,ARKO,5.89%,14.20%,-2.96%,5.52%,12.93%,4.56%,3.75%,3.67%,1.50,339.86K,0.35,9.10,-0.76%,"61,318"
100,ARKR,-0.05%,20.24%,10.01%,11.09%,14.18%,14.35%,3.22%,4.23%,-,9.24K,0.08,19.16,-0.42%,387
101,ARL,0.57%,-21.07%,-21.94%,22.68%,34.47%,11.94%,3.54%,5.75%,-,18.43K,0.03,14.18,0.14%,289
102,ARLO,12.20%,15.92%,-17.76%,-27.64%,13.84%,-33.37%,4.41%,4.48%,2.20,702.21K,0.68,7.31,4.58%,"244,510"
103,ARLP,4.85%,20.23%,19.61%,41.38%,203.66%,64.08%,5.01%,4.96%,2.00,632.83K,0.73,20.65,-0.46%,"239,021"
104,ARMP,1.54%,4.77%,-19.39%,-31.42%,3.40%,-27.92%,2.74%,8.56%,1.70,5.34K,0.33,3.93,-0.51%,894
105,AROC,3.54%,-1.80%,-16.19%,-4.88%,3.15%,9.36%,2.90%,4.06%,2.00,911.35K,0.35,8.11,-0.86%,"165,140"
106,ARTNA,2.50%,14.36%,11.91%,15.57%,34.83%,11.37%,2.39%,2.50%,1.50,29.11K,0.60,51.62,0.04%,"9,051"
107,ARW,4.49%,9.42%,6.51%,-13.20%,7.92%,-12.76%,2.65%,2.63%,2.90,627.49K,0.25,117.50,0.31%,"80,045"
108,ASB,4.58%,4.87%,-10.25%,-24.67%,3.34%,-15.10%,2.15%,2.43%,3.00,1.48M,0.47,19.10,-0.42%,"361,417"
109,ASC,20.33%,5.41%,50.19%,126.35%,128.94%,136.39%,6.52%,6.55%,1.50,771.15K,0.68,7.99,-0.06%,"271,225"
110,ASGN,2.29%,17.20%,-19.02%,-21.06%,0.16%,-24.22%,2.45%,3.03%,2.10,304.44K,0.29,95.90,2.56%,"45,598"
111,ASH,2.30%,7.89%,-4.23%,-3.23%,21.10%,-4.99%,2.22%,2.63%,2.20,427.61K,0.67,102.68,0.38%,"147,481"
112,ASIX,5.71%,2.21%,-32.22%,-22.24%,25.89%,-24.76%,3.41%,5.00%,1.70,219.87K,0.50,36.15,1.69%,"56,324"
113,ASLE,5.10%,27.89%,4.12%,7.06%,43.51%,-5.92%,3.23%,4.22%,3.00,98.36K,0.24,16.60,-0.55%,"12,140"
114,ASO,9.24%,25.26%,3.80%,8.04%,17.53%,-5.47%,3.23%,4.26%,1.60,2.46M,0.56,42.09,1.42%,"710,665"
115,ASPS,11.54%,9.33%,7.47%,7.74%,68.58%,12.83%,5.23%,4.96%,2.50,85.40K,1.21,13.11,3.55%,"53,442"
116,ASR,3.35%,-5.95%,-6.88%,-10.48%,12.41%,-6.33%,2.38%,2.66%,2.70,73.35K,0.34,188.10,-1.21%,"12,758"
117,ASRT,8.32%,10.87%,18.15%,31.33%,146.77%,40.37%,6.27%,7.09%,2.00,938.21K,0.84,3.15,2.94%,"406,889"
118,ASRV,-1.79%,-2.53%,-1.79%,-3.99%,3.22%,-0.26%,2.05%,1.70%,-,14.82K,0.09,3.86,0.26%,657
119,ASZ,-0.10%,0.00%,-0.51%,0.31%,0.31%,0.51%,0.25%,0.25%,-,1.61M,0.26,9.77,-0.05%,"211,758"
120,ATEN,1.03%,2.68%,6.74%,-4.71%,28.33%,-16.95%,4.09%,4.26%,1.70,1.27M,0.25,14.13,2.61%,"162,029"
121,ATGE,7.11%,27.35%,31.01%,33.43%,13.20%,34.07%,2.90%,3.78%,2.30,513.33K,0.50,39.29,-0.86%,"133,528"
122,ATI,6.70%,8.93%,-18.23%,17.79%,26.06%,50.91%,4.92%,5.10%,2.00,1.67M,0.40,23.96,-0.33%,"344,879"
123,ATKR,3.79%,1.23%,-4.32%,-13.70%,32.76%,-19.92%,4.82%,4.45%,2.20,514.93K,0.22,89.96,1.03%,"57,854"
124,ATLC,5.27%,27.84%,-9.45%,-43.10%,2.30%,-42.62%,3.63%,5.41%,2.00,54.14K,0.11,42.22,3.18%,"3,015"
125,ATMP,7.17%,6.13%,-8.33%,2.46%,18.83%,13.44%,12.18%,5.52%,-,11.58K,0.03,17.45,-1.02%,157
126,ATNI,1.98%,11.28%,14.81%,13.49%,5.78%,15.82%,2.27%,3.40%,1.70,44.04K,0.50,45.83,-0.95%,"11,277"
127,ATO,1.45%,8.50%,-5.13%,7.00%,14.67%,8.30%,1.41%,1.98%,2.40,949.07K,0.63,113.17,-0.26%,"306,338"
128,ATRI,5.02%,2.21%,-12.59%,-6.88%,5.71%,-8.52%,1.48%,1.04%,-,4.01K,0.20,640.84,-0.62%,409
129,ATSG,7.73%,1.19%,-8.95%,6.04%,37.33%,1.06%,3.12%,3.55%,1.60,422.45K,0.22,29.76,0.24%,"46,886"
130,AUB,2.22%,9.36%,-3.97%,-17.92%,1.02%,-7.29%,2.43%,2.46%,1.80,313.01K,0.29,34.53,-0.10%,"46,938"
131,AUSF,1.27%,2.94%,-7.77%,-7.04%,0.41%,-7.79%,1.01%,0.80%,-,5.64K,0.09,29.53,0.26%,255
132,AUY,2.12%,-7.85%,-22.04%,15.07%,16.75%,13.98%,5.38%,5.00%,2.10,23.68M,0.49,4.74,-1.35%,"5,925,622"
133,AVAN,0.25%,0.45%,0.45%,1.27%,2.21%,1.27%,0.14%,0.11%,-,173.64K,0.23,9.94,-0.05%,"20,649"
134,AVD,1.89%,3.36%,-3.19%,36.80%,34.71%,34.96%,3.46%,3.95%,2.00,297.93K,0.27,21.99,-0.61%,"41,360"
135,AVEO,-5.84%,59.28%,19.31%,67.34%,23.55%,40.94%,5.97%,8.35%,1.40,233.25K,1.02,7.07,7.03%,"122,685"
136,AVGO,5.74%,2.38%,-13.21%,-14.65%,9.30%,-23.51%,2.69%,2.46%,1.80,2.43M,0.67,514.53,1.09%,"843,428"
137,AVT,2.06%,6.21%,17.95%,5.48%,16.37%,7.91%,2.96%,3.04%,2.70,916.19K,0.43,44.63,0.31%,"203,109"
138,AVTE,7.84%,33.01%,-1.81%,71.13%,10.40%,37.74%,12.24%,12.96%,1.40,75.89K,1.23,17.08,5.17%,"48,119"
139,AVUV,5.34%,3.96%,-9.69%,-12.64%,3.63%,-9.73%,2.11%,2.22%,-,1.13M,0.37,72.38,0.55%,"216,249"
140,AXNX,3.71%,29.90%,4.20%,17.94%,7.28%,13.43%,3.86%,5.25%,1.60,558.00K,1.35,63.46,-0.09%,"388,132"
141,AXR,1.95%,4.45%,-4.88%,-20.62%,7.57%,-24.28%,2.41%,3.86%,-,5.49K,0.41,11.50,-0.09%,"1,169"
142,AXS,-2.32%,-0.30%,-5.32%,-6.33%,9.83%,-1.98%,1.96%,2.29%,-,559.11K,0.35,53.47,0.15%,"99,608"
143,AYI,7.19%,9.02%,0.13%,-16.55%,6.53%,-18.58%,2.73%,3.22%,2.20,291.92K,0.52,172.90,0.30%,"78,346"
144,AZN,2.16%,11.99%,-0.66%,15.82%,20.68%,17.01%,2.17%,1.83%,2.00,7.07M,0.68,66.01,-3.15%,"2,468,863"
145,AZO,3.04%,11.15%,2.28%,9.38%,40.37%,6.10%,2.42%,2.57%,2.20,191.86K,0.70,2192.37,-1.44%,"68,874"
146,AZPN,-0.49%,-0.16%,11.09%,14.74%,24.79%,17.54%,2.83%,3.67%,1.70,288.05K,0.39,181.65,1.53%,"57,348"
147,BAH,2.47%,14.86%,6.51%,4.18%,5.39%,9.29%,1.95%,2.53%,2.10,1.07M,0.45,93.24,0.62%,"248,646"
148,BAL,0.83%,-21.73%,-24.26%,-6.55%,32.79%,-0.65%,5.92%,4.69%,-,6.71K,0.23,65.54,3.13%,785
149,BANC,-0.06%,6.35%,-1.58%,-17.20%,15.73%,-7.75%,2.40%,2.40%,2.10,323.21K,0.54,18.03,-0.39%,"89,561"
150,BANF,-1.77%,0.40%,10.52%,18.57%,65.67%,30.29%,3.33%,3.10%,3.20,160.44K,0.41,90.38,-1.69%,"34,061"
151,BANR,3.26%,12.13%,6.77%,-11.10%,18.75%,-2.80%,2.29%,2.63%,2.50,178.07K,0.49,59.06,0.15%,"44,724"
152,BAP,5.82%,3.41%,-10.96%,-12.63%,8.61%,3.80%,2.98%,3.18%,4.00,425.89K,0.71,127.54,0.65%,"155,148"
153,BATRA,8.43%,12.66%,3.02%,4.12%,2.09%,-1.57%,2.46%,2.25%,2.00,65.68K,0.27,28.48,0.64%,"9,227"
154,BATRK,8.60%,11.98%,2.39%,1.35%,1.01%,-3.84%,2.38%,2.31%,2.30,114.18K,0.32,27.22,0.74%,"18,836"
155,BBSI,4.01%,13.45%,4.81%,16.38%,10.18%,11.14%,2.44%,3.45%,1.70,47.35K,0.47,77.31,0.73%,"11,398"
156,BBW,7.61%,-3.58%,-7.79%,-11.08%,18.79%,-14.50%,3.60%,5.50%,2.00,368.13K,0.30,17.04,2.10%,"56,376"
157,BCAC,0.30%,0.59%,0.99%,1.80%,3.66%,1.90%,0.14%,0.07%,-,25.73K,1.98,10.21,0.10%,"26,279"
158,BCBP,1.65%,1.36%,-1.22%,10.99%,34.36%,15.81%,2.20%,3.00%,3.00,113.85K,0.52,17.58,-1.62%,"30,393"
159,BCC,2.46%,-1.23%,-9.86%,-7.17%,42.75%,-8.28%,4.11%,4.38%,2.40,401.63K,0.50,64.75,2.24%,"103,151"
160,BCD,3.94%,-11.11%,-14.44%,11.00%,18.34%,15.84%,1.42%,1.94%,-,120.00K,0.27,35.68,0.19%,"16,422"
161,BCE,1.31%,4.02%,-14.69%,-6.61%,1.88%,-5.02%,1.58%,1.48%,2.90,1.52M,0.50,49.35,-0.16%,"388,737"
162,BCH,15.81%,-3.14%,-12.26%,2.00%,2.62%,19.86%,5.24%,3.72%,2.90,174.57K,0.75,19.03,1.06%,"67,248"
163,BCI,3.98%,-10.49%,-13.93%,12.00%,4.71%,16.92%,1.53%,1.92%,-,328.13K,1.15,26.93,0.19%,"194,870"
164,BCM,2.68%,-15.97%,-12.59%,8.88%,20.85%,12.77%,0.53%,3.15%,-,7.78K,0.05,44.00,-0.26%,210
165,BCML,0.05%,-2.35%,-2.89%,4.52%,19.54%,10.87%,2.17%,2.81%,1.70,131.55K,0.36,20.99,0.91%,"24,444"
166,BCOR,5.13%,15.10%,-5.74%,11.33%,19.65%,10.05%,2.73%,3.55%,2.00,422.77K,0.26,19.12,0.31%,"56,227"
167,BCPC,2.87%,14.74%,-0.36%,-16.18%,0.89%,-22.69%,2.90%,2.69%,1.70,116.66K,0.27,130.07,-0.21%,"16,285"
168,BCTX,7.06%,10.48%,-18.69%,-26.39%,37.92%,-24.88%,6.30%,6.93%,2.00,393.49K,1.19,6.50,4.50%,"241,140"
169,BCX,1.68%,-14.01%,-26.54%,-15.81%,0.12%,-9.41%,2.30%,3.20%,-,365.43K,1.22,8.55,0.94%,"229,348"
170,BDC,8.94%,26.33%,24.30%,-3.08%,33.25%,-6.06%,3.39%,3.75%,2.00,320.50K,0.44,61.84,0.15%,"72,831"
171,BECN,1.70%,10.35%,-4.85%,0.97%,11.13%,-2.18%,3.64%,3.86%,2.40,579.71K,0.51,56.62,0.93%,"152,829"
172,BEDZ,8.71%,11.89%,-13.85%,-11.79%,1.08%,-16.32%,0.97%,1.33%,-,3.19K,0.55,22.54,1.76%,910
173,BELFB,7.07%,20.78%,10.62%,32.01%,44.16%,39.37%,2.82%,3.80%,2.00,48.96K,1.86,18.28,1.44%,"46,960"
174,BENE,0.19%,0.48%,0.68%,1.67%,3.81%,2.17%,0.18%,0.17%,-,52.35K,0.14,10.37,0.10%,"3,693"
175,BF-A,2.22%,10.45%,10.59%,11.51%,5.26%,3.17%,2.19%,2.10%,-,44.66K,0.95,69.61,-0.47%,"21,879"
176,BF-B,1.90%,8.12%,5.84%,5.15%,1.21%,-2.00%,1.96%,1.87%,3.20,1.07M,1.13,70.88,-0.74%,"622,136"
177,BFS,2.28%,14.59%,-10.04%,-8.43%,14.21%,-8.45%,1.78%,2.64%,2.30,46.69K,0.20,48.61,0.14%,"4,908"
178,BG,2.75%,-10.22%,-29.00%,-8.82%,21.98%,-3.60%,2.18%,3.48%,-,1.65M,0.65,91.65,1.83%,"556,149"
179,BGI,-1.56%,0.60%,-13.82%,4.77%,108.68%,4.12%,1.69%,2.34%,-,68.13K,0.25,5.10,0.99%,"8,611"
180,BGR,3.18%,-5.88%,-10.74%,-1.56%,27.62%,13.08%,2.24%,3.08%,-,170.48K,0.27,10.87,1.37%,"24,091"
181,BGSF,1.75%,1.75%,0.74%,-14.40%,3.31%,-15.05%,1.82%,2.42%,-,16.51K,7.47,12.41,1.80%,"63,553"
